Date,Currency,Mean,Buy,Sell
8/30/2010,EURO,103.019,102.901,103.138
8/31/2010,EURO,102.498,102.352,102.644
9/1/2010,EURO,102.923,102.801,103.045
9/2/2010,EURO,103.38,103.254,103.507
9/3/2010,EURO,103.503,103.372,103.633
9/6/2010,EURO,104.114,103.982,104.245
9/7/2010,EURO,103.59,103.474,103.706
9/8/2010,EURO,103.237,103.101,103.373
9/9/2010,EURO,103.147,103.021,103.274
9/10/2010,EURO,103.024,102.898,103.15
9/13/2010,EURO,103.587,103.448,103.726
9/14/2010,EURO,104.184,104.054,104.314
9/15/2010,EURO,104.969,104.83,105.109
9/16/2010,EURO,104.928,104.812,105.043
9/17/2010,EURO,105.833,105.702,105.963
9/20/2010,EURO,105.646,105.51,105.783
9/21/2010,EURO,106.034,105.908,106.16
9/22/2010,EURO,107.443,107.303,107.583
9/23/2010,EURO,108.474,108.341,108.608
9/24/2010,EURO,108.249,108.114,108.384
9/27/2010,EURO,108.845,108.715,108.975
9/28/2010,EURO,108.849,108.712,108.985
9/29/2010,EURO,109.84,109.706,109.973
9/30/2010,EURO,109.673,109.521,109.825
10/1/2010,EURO,110.328,110.215,110.441
10/4/2010,EURO,111.323,111.181,111.465
10/5/2010,EURO,110.851,110.728,110.974
10/6/2010,EURO,111.779,111.646,111.912
10/7/2010,EURO,112.293,112.164,112.421
10/8/2010,EURO,112.253,112.136,112.371
10/11/2010,EURO,112.571,112.438,112.704
10/12/2010,EURO,111.728,111.601,111.855
10/13/2010,EURO,112.677,112.544,112.81
10/14/2010,EURO,113.493,113.348,113.638
10/15/2010,EURO,113.244,113.088,113.4
10/18/2010,EURO,111.985,111.839,112.131
10/19/2010,EURO,112.332,112.203,112.461
10/21/2010,EURO,112.806,112.669,112.943
10/22/2010,EURO,112.741,112.597,112.885
10/25/2010,EURO,113.35,113.213,113.486
10/26/2010,EURO,112.73,112.598,112.862
10/27/2010,EURO,111.538,111.407,111.669
10/28/2010,EURO,111.795,111.661,111.929
10/29/2010,EURO,112.127,111.983,112.271
11/1/2010,EURO,113.011,112.884,113.138
11/2/2010,EURO,112.51,112.393,112.627
11/3/2010,EURO,112.814,112.697,112.931
11/4/2010,EURO,113.729,113.589,113.868
11/5/2010,EURO,113.7,113.568,113.831
11/8/2010,EURO,112.16,112.021,112.3
11/9/2010,EURO,111.816,111.691,111.942
11/10/2010,EURO,111.005,110.879,111.131
11/11/2010,EURO,111.014,110.882,111.146
11/12/2010,EURO,109.659,109.545,109.773
11/15/2010,EURO,110.145,110.017,110.272
